CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE325616,08/04/2021 10:23:00 AM,070XX S PULASKI RD,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,833,13,06,1150922,1857430,41.764674182,-87.722393601,"(41.764674182, -87.722393601)"
JE326506,08/04/2021 10:30:00 AM,011XX N STATE ST,0820,THEFT,$500 AND UNDER,RESTAURANT,N,N,1824,2,06,1176137,1907906,41.90265577,-87.628455651,"(41.90265577, -87.628455651)"
JE336180,08/04/2021 10:30:00 AM,117XX S WESTERN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,2212,19,26,,,,,
JE325645,08/04/2021 10:40:00 AM,001XX N MAYFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512,29,08B,1137141,1900357,41.882730278,-87.771877512,"(41.882730278, -87.771877512)"
JE325747,08/04/2021 10:41:00 AM,061XX N CALIFORNIA AVE,0620,BURGLARY,UNLAWFUL ENTRY,SIDEWALK,Y,N,2413,50,05,1156560,1940617,41.992835785,-87.69947674,"(41.992835785, -87.69947674)"
JE325682,08/04/2021 10:45:00 AM,033XX W CERMAK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,1024,24,14,1154254,1889173,41.851715746,-87.709336028,"(41.851715746, -87.709336028)"
JE325658,08/04/2021 10:45:00 AM,050XX W GLADYS AVE,0460,BATTERY,SIMPLE,STREET,N,N,1533,28,08B,1142935,1897873,41.875807885,-87.750663394,"(41.875807885, -87.750663394)"
JE325719,08/04/2021 10:56:00 AM,073XX S LUELLA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,333,7,08B,1192485,1856800,41.762034341,-87.570075766,"(41.762034341, -87.570075766)"
JE326663,08/04/2021 11:00:00 AM,037XX E 116TH ST,0820,THEFT,$500 AND UNDER,OTHER (SPECIFY),N,N,433,10,06,1202708,1828663,41.684569342,-87.533566226,"(41.684569342, -87.533566226)"
JE325825,08/04/2021 11:00:00 AM,076XX S EMERALD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,621,17,15,1172623,1854303,41.755642812,-87.642945357,"(41.755642812, -87.642945357)"
JE326342,08/04/2021 11:00:00 AM,041XX S BERKELEY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,214,4,08A,1183836,1877429,41.818848275,-87.601131049,"(41.818848275, -87.601131049)"
JE327918,08/04/2021 11:00:00 AM,003XX W CHESTNUT ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - GARAGE,N,N,1823,27,07,1173689,1906248,41.898160974,-87.637496886,"(41.898160974, -87.637496886)"
JE327091,08/04/2021 11:00:00 AM,050XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),N,N,224,3,14,1179288,1871641,41.80307065,-87.617991333,"(41.80307065, -87.617991333)"
JE326220,08/04/2021 11:00:00 AM,008XX E 49TH ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,N,223,4,26,1182786,1872705,41.805909748,-87.605129628,"(41.805909748, -87.605129628)"
JE327697,08/04/2021 11:00:00 AM,058XX W 62ND ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,812,13,06,1138354,1862842,41.779761428,-87.768329307,"(41.779761428, -87.768329307)"
JE325707,08/04/2021 11:04:00 AM,0000X E RANDOLPH ST,0820,THEFT,$500 AND UNDER,SIDEWALK,N,N,111,42,06,1176453,1901289,41.884491256,-87.627494889,"(41.884491256, -87.627494889)"
JE325687,08/04/2021 11:05:00 AM,065XX S SEELEY AVE,0560,ASSAULT,SIMPLE,STREET,N,N,726,16,08A,1163821,1861280,41.774977975,-87.675006933,"(41.774977975, -87.675006933)"
JE325729,08/04/2021 11:10:00 AM,033XX W GLADYS AVE,0810,THEFT,OVER $500,STREET,N,N,1134,28,06,1154004,1898094,41.87620094,-87.71001587,"(41.87620094, -87.71001587)"
JE325815,08/04/2021 11:10:00 AM,102XX S WENTWORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,511,9,07,1176746,1837134,41.708437082,-87.628350991,"(41.708437082, -87.628350991)"
JE325694,08/04/2021 11:15:00 AM,046XX N KIONA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,1722,39,14,1147050,1930329,41.964792637,-87.734722622,"(41.964792637, -87.734722622)"
JE325701,08/04/2021 11:17:00 AM,067XX N CAMPBELL AVE,0560,ASSAULT,SIMPLE,STREET,N,Y,2412,50,08A,1158434,1944556,42.003606278,-87.692475049,"(42.003606278, -87.692475049)"
JE325713,08/04/2021 11:20:00 AM,012XX N LEAVITT ST,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,1424,2,08A,1161515,1908149,41.903639709,-87.682157841,"(41.903639709, -87.682157841)"
JE325823,08/04/2021 11:30:00 AM,068XX S DORCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,N,N,321,5,08B,1186717,1859971,41.770874346,-87.591115577,"(41.770874346, -87.591115577)"
JE325760,08/04/2021 11:30:00 AM,046XX S PAULINA ST,0810,THEFT,OVER $500,STREET,N,N,924,15,06,1165786,1874031,41.809926774,-87.667441441,"(41.809926774, -87.667441441)"
JE326137,08/04/2021 11:30:00 AM,020XX E 75TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,414,8,05,1191290,1855646,41.758896683,-87.574492818,"(41.758896683, -87.574492818)"
JE325733,08/04/2021 11:31:00 AM,029XX W GEORGE ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1411,33,03,1156078,1919133,41.933892203,-87.70183214,"(41.933892203, -87.70183214)"
JE325722,08/04/2021 11:36:00 AM,050XX W FULTON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,1532,28,14,1142641,1901471,41.885686714,-87.751653331,"(41.885686714, -87.751653331)"
JE325731,08/04/2021 11:38:00 AM,030XX N HALSTED ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1933,44,06,1170394,1920533,41.93743245,-87.649180491,"(41.93743245, -87.649180491)"
JE325743,08/04/2021 11:40:00 AM,060XX N AVONDALE AVE,0560,ASSAULT,SIMPLE,OTHER (SPECIFY),N,N,1612,41,08A,1129844,1939651,41.990685556,-87.797771449,"(41.990685556, -87.797771449)"
JE325718,08/04/2021 11:40:00 AM,055XX W CHICAGO AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,RESTAURANT,Y,N,1524,37,26,1139174,1904791,41.894860993,-87.764304185,"(41.894860993, -87.764304185)"
JE325767,08/04/2021 11:45:00 AM,015XX W WARREN BLVD,0560,ASSAULT,SIMPLE,OTHER (SPECIFY),N,N,1224,27,08A,1165833,1900435,41.882380888,-87.666517086,"(41.882380888, -87.666517086)"
JE325790,08/04/2021 11:52:00 AM,039XX W MADISON ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,1122,28,04B,1150223,1899725,41.880751096,-87.723855981,"(41.880751096, -87.723855981)"
JE325754,08/04/2021 11:58:00 AM,073XX S SOUTH SHORE DR,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,334,7,15,1195328,1857205,41.763075995,-87.559642688,"(41.763075995, -87.559642688)"
JE329502,08/04/2021 12:00:00 PM,030XX N MILWAUKEE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,APARTMENT,N,N,2523,30,10,1150976,1920259,41.937083633,-87.72055235,"(41.937083633, -87.72055235)"
JE328162,08/04/2021 12:00:00 PM,002XX W 106TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,512,34,05,1176558,1834318,41.700713799,-87.629123785,"(41.700713799, -87.629123785)"
JE325780,08/04/2021 12:00:00 PM,064XX S TALMAN AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,825,17,04A,1159819,1861750,41.776350853,-87.689664892,"(41.776350853, -87.689664892)"
JE325759,08/04/2021 12:00:00 PM,036XX S INDIANA AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,Y,212,3,04A,1178199,1880877,41.828439817,-87.621704653,"(41.828439817, -87.621704653)"
JE326194,08/04/2021 12:00:00 PM,020XX W WASHINGTON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1223,27,07,1162732,1900683,41.883126974,-87.67789702,"(41.883126974, -87.67789702)"
JE325771,08/04/2021 12:00:00 PM,039XX W 59TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,822,23,08B,1151077,1865187,41.785957604,-87.721623241,"(41.785957604, -87.721623241)"
JE330365,08/04/2021 12:00:00 PM,008XX S KEDVALE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,1132,24,26,1148849,1895988,41.870523003,-87.728997857,"(41.870523003, -87.728997857)"
JE327998,08/04/2021 12:00:00 PM,021XX S TRUMBULL AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1024,24,06,1153753,1889445,41.852472121,-87.711167604,"(41.852472121, -87.711167604)"
JE325982,08/04/2021 12:00:00 PM,007XX S SPRINGFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1133,24,14,1150496,1896603,41.872178655,-87.722935067,"(41.872178655, -87.722935067)"
JE332749,08/04/2021 12:00:00 PM,012XX W GRACE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1923,44,14,1167374,1925466,41.951034425,-87.660137054,"(41.951034425, -87.660137054)"
JE334172,08/04/2021 12:00:00 PM,003XX W 116TH ST,1195,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,NURSING / RETIREMENT HOME,N,N,522,34,11,1176154,1828007,41.683404529,-87.630791551,"(41.683404529, -87.630791551)"
JE326295,08/04/2021 12:00:00 PM,047XX N ELSTON AVE,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1722,39,06,1145892,1931233,41.967295403,-87.738957273,"(41.967295403, -87.738957273)"
JE325752,08/04/2021 12:01:00 PM,015XX N CLYBOURN AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1822,2,08B,1170470,1910783,41.910676312,-87.649187069,"(41.910676312, -87.649187069)"
JE325774,08/04/2021 12:10:00 PM,094XX S LAFAYETTE AVE,0560,ASSAULT,SIMPLE,RESTAURANT,N,N,634,21,08A,1177601,1842215,41.72236078,-87.625066872,"(41.72236078, -87.625066872)"
JE325831,08/04/2021 12:15:00 PM,068XX S OGLESBY AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,Y,331,5,26,1192946,1860098,41.771073064,-87.568278663,"(41.771073064, -87.568278663)"
JE325791,08/04/2021 12:15:00 PM,009XX W FOSTER AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2023,48,26,1169202,1934733,41.976423772,-87.653147038,"(41.976423772, -87.653147038)"
JE325801,08/04/2021 12:15:00 PM,002XX W 87TH ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,Y,N,622,21,06,1176467,1847230,41.736148121,-87.629070243,"(41.736148121, -87.629070243)"
JE325800,08/04/2021 12:20:00 PM,070XX S SANGAMON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,733,6,08B,1171188,1858219,41.76642029,-87.648089955,"(41.76642029, -87.648089955)"
JE328390,08/04/2021 12:22:00 PM,019XX N KIMBALL AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,N,N,1422,35,10,1153388,1912753,41.916438903,-87.711887769,"(41.916438903, -87.711887769)"
JE326063,08/04/2021 12:24:00 PM,055XX S ASHLAND AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,N,N,713,16,03,1166617,1867978,41.79329893,-87.66456619,"(41.79329893, -87.66456619)"
JE329206,08/04/2021 12:30:00 PM,086XX S STONY ISLAND AVE,0810,THEFT,OVER $500,GAS STATION,N,N,412,8,06,1188302,1848188,41.738503031,-87.585680998,"(41.738503031, -87.585680998)"
JE326998,08/04/2021 12:30:00 PM,077XX S YATES BLVD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,421,7,05,1193541,1854165,41.754777919,-87.566291582,"(41.754777919, -87.566291582)"
JE326115,08/04/2021 12:30:00 PM,049XX W NORTH AVE,0560,ASSAULT,SIMPLE,BANK,N,N,2533,37,08A,1142875,1910175,41.909567137,-87.750576916,"(41.909567137, -87.750576916)"
JE325812,08/04/2021 12:35:00 PM,038XX W FLOURNOY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1133,24,14,1150800,1896753,41.872584334,-87.721815021,"(41.872584334, -87.721815021)"
